id,title,category,subcategory,parent_id,difficulty,importance,game_phases,aliases,related_concepts,review_status
opening.king_in_the_centre,King in the Centre,Opening,Centre,,intermediate,7,opening,,opening.opposite_side_castling|opening.pawn_shield,ontology_only
opening.pawn_shield,Pawn Shield,Opening,King Safety,,intermediate,7,opening,,opening.king_in_the_centre|opening.opening_initiative,ontology_only
opening.opening_initiative,Opening Initiative,Opening,Opening Principles,,intermediate,7,opening,,opening.pawn_shield|opening.tempo_gain,ontology_only
opening.tempo_gain,Tempo Gain,Opening,Development,,intermediate,7,opening,,opening.opening_initiative|opening.tempo_loss,ontology_only
opening.tempo_loss,Tempo Loss,Opening,Development,,intermediate,7,opening,,opening.tempo_gain|opening.opening_trap,ontology_only
opening.opening_trap,Opening Trap,Opening,Gambits and Traps,,intermediate,7,opening,,opening.tempo_loss|opening.poisoned_pawn,ontology_only
opening.poisoned_pawn,Poisoned Pawn,Opening,Gambits and Traps,,intermediate,7,opening,,opening.opening_trap|opening.development_trap,ontology_only
opening.development_trap,Development Trap,Opening,Development,,intermediate,7,opening,,opening.poisoned_pawn|opening.opening_gambit,ontology_only
opening.opening_gambit,Opening Gambit,Opening,Gambits and Traps,,intermediate,7,opening,,opening.development_trap|opening.gambit_compensation,ontology_only
opening.gambit_compensation,Gambit Compensation,Opening,Gambits and Traps,,intermediate,7,opening,,opening.opening_gambit|opening.opening_repertoire,ontology_only
opening.opening_repertoire,Opening Repertoire,Opening,Repertoire Mechanics,,intermediate,7,opening,,opening.gambit_compensation|opening.move_order_awareness,ontology_only
opening.move_order_awareness,Move-Order Awareness,Opening,Repertoire Mechanics,,intermediate,7,opening,,opening.opening_repertoire|opening.transposition,ontology_only
opening.transposition,Transposition,Opening,Repertoire Mechanics,,intermediate,7,opening,,opening.move_order_awareness|opening.opening_principles_versus_concrete_tactics,ontology_only
opening.opening_principles_versus_concrete_tactics,Opening Principles versus Concrete Tactics,Opening,Opening Principles,,intermediate,7,opening,,opening.transposition|opening.rapid_development,ontology_only
tactics.fork,Fork,Tactical Motifs,Double Attacks,,beginner,10,universal,,tactics.tactical_simplification|tactics.knight_fork,ontology_only
tactics.knight_fork,Knight Fork,Tactical Motifs,Double Attacks,,beginner,8,universal,,tactics.fork|tactics.pawn_fork,ontology_only
tactics.pawn_fork,Pawn Fork,Tactical Motifs,Double Attacks,,beginner,8,universal,,tactics.knight_fork|tactics.queen_fork,ontology_only
tactics.queen_fork,Queen Fork,Tactical Motifs,Double Attacks,,beginner,8,universal,,tactics.pawn_fork|tactics.king_fork,ontology_only
tactics.king_fork,King Fork,Tactical Motifs,Double Attacks,,beginner,8,universal,,tactics.queen_fork|tactics.royal_fork,ontology_only
tactics.royal_fork,Royal Fork,Tactical Motifs,Double Attacks,,beginner,8,universal,,tactics.king_fork|tactics.double_attack,ontology_only
tactics.double_attack,Double Attack,Tactical Motifs,Double Attacks,,intermediate,8,universal,,tactics.royal_fork|tactics.pin,ontology_only
tactics.pin,Pin,Tactical Motifs,Line Tactics,,beginner,10,universal,,tactics.double_attack|tactics.absolute_pin,ontology_only
tactics.absolute_pin,Absolute Pin,Tactical Motifs,Line Tactics,,beginner,8,universal,,tactics.pin|tactics.relative_pin,ontology_only
tactics.relative_pin,Relative Pin,Tactical Motifs,Line Tactics,,beginner,8,universal,,tactics.absolute_pin|tactics.cross_pin,ontology_only
tactics.cross_pin,Cross Pin,Tactical Motifs,Line Tactics,,advanced,8,universal,,tactics.relative_pin|tactics.skewer,ontology_only
tactics.skewer,Skewer,Tactical Motifs,Line Tactics,,intermediate,8,universal,,tactics.cross_pin|tactics.discovered_attack,ontology_only
tactics.discovered_attack,Discovered Attack,Tactical Motifs,Line Tactics,,intermediate,8,universal,,tactics.skewer|tactics.discovered_check,ontology_only
tactics.discovered_check,Discovered Check,Tactical Motifs,Line Tactics,,intermediate,8,universal,,tactics.discovered_attack|tactics.double_check,ontology_only
tactics.double_check,Double Check,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.discovered_check|tactics.x_ray_attack,ontology_only
tactics.x_ray_attack,X-Ray Attack,Tactical Motifs,Line Tactics,,intermediate,8,universal,,tactics.double_check|tactics.x_ray_defence,ontology_only
tactics.x_ray_defence,X-Ray Defence,Tactical Motifs,Line Tactics,,intermediate,8,universal,,tactics.x_ray_attack|tactics.deflection,ontology_only
tactics.deflection,Deflection,Tactical Motifs,Defender Manipulation,,intermediate,8,universal,,tactics.x_ray_defence|tactics.decoy,ontology_only
tactics.decoy,Decoy,Tactical Motifs,Defender Manipulation,,intermediate,8,universal,,tactics.deflection|tactics.attraction,ontology_only
tactics.attraction,Attraction,Tactical Motifs,Defender Manipulation,,intermediate,8,universal,,tactics.decoy|tactics.clearance,ontology_only
tactics.clearance,Clearance,Tactical Motifs,Clearance and Interference,,intermediate,8,universal,,tactics.attraction|tactics.line_clearance,ontology_only
tactics.line_clearance,Line Clearance,Tactical Motifs,Clearance and Interference,,intermediate,8,universal,,tactics.clearance|tactics.square_clearance,ontology_only
tactics.square_clearance,Square Clearance,Tactical Motifs,Clearance and Interference,,intermediate,8,universal,,tactics.line_clearance|tactics.interference,ontology_only
tactics.interference,Interference,Tactical Motifs,Clearance and Interference,,intermediate,8,universal,,tactics.square_clearance|tactics.blocking,ontology_only
tactics.blocking,Blocking,Tactical Motifs,Clearance and Interference,,intermediate,8,universal,,tactics.interference|tactics.overloading,ontology_only
tactics.overloading,Overloading,Tactical Motifs,Defender Manipulation,,intermediate,8,universal,,tactics.blocking|tactics.removing_the_defender,ontology_only
tactics.removing_the_defender,Removing the Defender,Tactical Motifs,Defender Manipulation,,intermediate,8,universal,,tactics.overloading|tactics.undermining_the_defender,ontology_only
tactics.undermining_the_defender,Undermining the Defender,Tactical Motifs,Defender Manipulation,,intermediate,8,universal,,tactics.removing_the_defender|tactics.zwischenzug,ontology_only
tactics.zwischenzug,Zwischenzug,Tactical Motifs,Tactical Resources,,intermediate,8,universal,,tactics.undermining_the_defender|tactics.zwischencheck,ontology_only
tactics.zwischencheck,Zwischencheck,Tactical Motifs,Tactical Resources,,intermediate,8,universal,,tactics.zwischenzug|tactics.desperado,ontology_only
tactics.desperado,Desperado,Tactical Motifs,Tactical Resources,,intermediate,8,universal,,tactics.zwischencheck|tactics.trapped_piece,ontology_only
tactics.trapped_piece,Trapped Piece,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.desperado|tactics.loose_piece,ontology_only
tactics.loose_piece,Loose Piece,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.trapped_piece|tactics.hanging_piece,ontology_only
tactics.hanging_piece,Hanging Piece,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.loose_piece|tactics.dominated_piece,ontology_only
tactics.dominated_piece,Dominated Piece,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.hanging_piece|tactics.en_prise_piece,ontology_only
tactics.en_prise_piece,En Prise Piece,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.dominated_piece|tactics.back_rank_tactic,ontology_only
tactics.back_rank_tactic,Back-Rank Tactic,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.en_prise_piece|tactics.promotion_combination,ontology_only
tactics.promotion_combination,Promotion Combination,Tactical Motifs,Promotion and Drawing Tactics,,intermediate,8,universal,,tactics.back_rank_tactic|tactics.underpromotion,ontology_only
tactics.underpromotion,Underpromotion,Tactical Motifs,Promotion and Drawing Tactics,,advanced,8,universal,,tactics.promotion_combination|tactics.pawn_breakthrough,ontology_only
tactics.pawn_breakthrough,Pawn Breakthrough,Tactical Motifs,Promotion and Drawing Tactics,,intermediate,8,universal,,tactics.underpromotion|tactics.perpetual_check|pawn_structures.pawn_breakthrough|pawn_play.pawn_breakthrough,ontology_only
tactics.perpetual_check,Perpetual Check,Tactical Motifs,Promotion and Drawing Tactics,,intermediate,8,universal,,tactics.pawn_breakthrough|tactics.stalemate_combination|defence.perpetual_check|queen_endgames.perpetual_check,ontology_only
tactics.stalemate_combination,Stalemate Combination,Tactical Motifs,Promotion and Drawing Tactics,,intermediate,8,universal,,tactics.perpetual_check|tactics.fortress_combination,ontology_only
tactics.fortress_combination,Fortress Combination,Tactical Motifs,Promotion and Drawing Tactics,,advanced,8,universal,,tactics.stalemate_combination|tactics.sacrifice_for_initiative,ontology_only
tactics.sacrifice_for_initiative,Sacrifice for Initiative,Tactical Motifs,Sacrifices,,intermediate,8,universal,,tactics.fortress_combination|tactics.line_opening_sacrifice,ontology_only
tactics.line_opening_sacrifice,Line-Opening Sacrifice,Tactical Motifs,Sacrifices,,intermediate,8,universal,,tactics.sacrifice_for_initiative|tactics.exchange_sacrifice,ontology_only
tactics.exchange_sacrifice,Exchange Sacrifice,Tactical Motifs,Sacrifices,,intermediate,8,universal,,tactics.line_opening_sacrifice|tactics.greek_gift_sacrifice,ontology_only
tactics.greek_gift_sacrifice,Greek Gift Sacrifice,Tactical Motifs,Sacrifices,,intermediate,8,universal,,tactics.exchange_sacrifice|tactics.windmill,ontology_only
tactics.windmill,Windmill,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.greek_gift_sacrifice|tactics.battery,ontology_only
tactics.battery,Battery,Tactical Motifs,Line Tactics,,intermediate,8,universal,,tactics.windmill|tactics.mating_net,ontology_only
tactics.mating_net,Mating Net,Tactical Motifs,General Tactics,,intermediate,8,universal,,tactics.battery|tactics.tactical_defence|king_attack.mating_net,ontology_only
tactics.tactical_defence,Tactical Defence,Tactical Motifs,Tactical Resources,,intermediate,8,universal,,tactics.mating_net|tactics.counter_tactic,ontology_only
tactics.counter_tactic,Counter-Tactic,Tactical Motifs,Tactical Resources,,intermediate,8,universal,,tactics.tactical_defence|tactics.counterattack,ontology_only
tactics.counterattack,Counterattack,Tactical Motifs,Tactical Resources,,intermediate,8,universal,,tactics.counter_tactic|tactics.tactical_simplification|defence.counterattack,ontology_only
tactics.tactical_simplification,Tactical Simplification,Tactical Motifs,Tactical Resources,,intermediate,8,universal,,tactics.counterattack|tactics.fork,ontology_only
checkmates.anastasias_mate,Anastasia’s Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.mating_attack_against_an_uncastled_king|checkmates.arabian_mate,ontology_only
checkmates.arabian_mate,Arabian Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.anastasias_mate|checkmates.bodens_mate,ontology_only
checkmates.bodens_mate,Boden’s Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.arabian_mate|checkmates.back_rank_mate,ontology_only
checkmates.back_rank_mate,Back-Rank Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.bodens_mate|checkmates.smothered_mate,ontology_only
checkmates.smothered_mate,Smothered Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.back_rank_mate|checkmates.lucena_smothered_mate_pattern,ontology_only
checkmates.lucena_smothered_mate_pattern,Lucena Smothered-Mate Pattern,Checkmate Patterns,Named Mates,,expert,6,universal,,checkmates.smothered_mate|checkmates.damianos_mate,ontology_only
checkmates.damianos_mate,Damiano’s Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.lucena_smothered_mate_pattern|checkmates.legals_mate,ontology_only
checkmates.legals_mate,Legal’s Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.damianos_mate|checkmates.epaulette_mate,ontology_only
checkmates.epaulette_mate,Epaulette Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.legals_mate|checkmates.dovetail_mate,ontology_only
checkmates.dovetail_mate,Dovetail Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.epaulette_mate|checkmates.swallows_tail_mate,ontology_only
checkmates.swallows_tail_mate,Swallow’s-Tail Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.dovetail_mate|checkmates.hook_mate,ontology_only
checkmates.hook_mate,Hook Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.swallows_tail_mate|checkmates.opera_mate,ontology_only
checkmates.opera_mate,Opera Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.hook_mate|checkmates.corridor_mate,ontology_only
checkmates.corridor_mate,Corridor Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.opera_mate|checkmates.suffocation_mate,ontology_only
checkmates.suffocation_mate,Suffocation Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.corridor_mate|checkmates.queen_and_rook_mating_pattern,ontology_only
checkmates.queen_and_rook_mating_pattern,Queen and Rook Mating Pattern,Checkmate Patterns,Mating Geometries,,intermediate,7,universal,,checkmates.suffocation_mate|checkmates.queen_and_bishop_mating_pattern,ontology_only
checkmates.queen_and_bishop_mating_pattern,Queen and Bishop Mating Pattern,Checkmate Patterns,Mating Geometries,,intermediate,7,universal,,checkmates.queen_and_rook_mating_pattern|checkmates.queen_and_knight_mating_pattern,ontology_only
checkmates.queen_and_knight_mating_pattern,Queen and Knight Mating Pattern,Checkmate Patterns,Mating Geometries,,intermediate,7,universal,,checkmates.queen_and_bishop_mating_pattern|checkmates.rook_and_knight_mating_pattern,ontology_only
checkmates.rook_and_knight_mating_pattern,Rook and Knight Mating Pattern,Checkmate Patterns,Mating Geometries,,intermediate,7,universal,,checkmates.queen_and_knight_mating_pattern|checkmates.two_bishop_mating_pattern,ontology_only
checkmates.two_bishop_mating_pattern,Two-Bishop Mating Pattern,Checkmate Patterns,Mating Geometries,,intermediate,7,universal,,checkmates.rook_and_knight_mating_pattern|checkmates.bishop_and_knight_checkmate,ontology_only
checkmates.bishop_and_knight_checkmate,Bishop and Knight Checkmate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.two_bishop_mating_pattern|checkmates.edge_of_the_board_mating_net,ontology_only
checkmates.edge_of_the_board_mating_net,Edge-of-the-Board Mating Net,Checkmate Patterns,Mating Geometries,,intermediate,7,universal,,checkmates.bishop_and_knight_checkmate|checkmates.open_file_mate,ontology_only
checkmates.open_file_mate,Open-File Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.edge_of_the_board_mating_net|checkmates.open_diagonal_mate,ontology_only
checkmates.open_diagonal_mate,Open-Diagonal Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.open_file_mate|checkmates.pawn_supported_mate,ontology_only
checkmates.pawn_supported_mate,Pawn-Supported Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.open_diagonal_mate|checkmates.double_check_mate,ontology_only
checkmates.double_check_mate,Double-Check Mate,Checkmate Patterns,Named Mates,,intermediate,7,universal,,checkmates.pawn_supported_mate|checkmates.mating_attack_against_an_uncastled_king,ontology_only
checkmates.mating_attack_against_an_uncastled_king,Mating Attack against an Uncastled King,Checkmate Patterns,Mating Geometries,,intermediate,7,universal,,checkmates.double_check_mate|checkmates.anastasias_mate,ontology_only
strategy.strategic_imbalance,Strategic Imbalance,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.transformation_of_advantages|strategy.static_versus_dynamic_play,ontology_only
strategy.static_versus_dynamic_play,Static versus Dynamic Play,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.strategic_imbalance|strategy.space_versus_structure,ontology_only
strategy.space_versus_structure,Space versus Structure,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.static_versus_dynamic_play|strategy.material_versus_initiative,ontology_only
strategy.material_versus_initiative,Material versus Initiative,Strategy,Strategic Principles,,beginner,7,middlegame,,strategy.space_versus_structure|strategy.centre_versus_wing_play,ontology_only
strategy.centre_versus_wing_play,Centre versus Wing Play,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.material_versus_initiative|strategy.long_term_asset,ontology_only
strategy.long_term_asset,Long-Term Asset,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.centre_versus_wing_play|strategy.long_term_liability,ontology_only
strategy.long_term_liability,Long-Term Liability,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.long_term_asset|strategy.favourable_transformation,ontology_only
strategy.favourable_transformation,Favourable Transformation,Strategy,Strategic Principles,,advanced,7,middlegame,,strategy.long_term_liability|strategy.strategic_turning_point,ontology_only
strategy.strategic_turning_point,Strategic Turning Point,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.favourable_transformation|strategy.strategic_restraint,ontology_only
strategy.strategic_restraint,Strategic Restraint,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.strategic_turning_point|strategy.strategic_expansion,ontology_only
strategy.strategic_expansion,Strategic Expansion,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.strategic_restraint|strategy.multi_stage_strategy,ontology_only
strategy.multi_stage_strategy,Multi-Stage Strategy,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.strategic_expansion|strategy.initiative,ontology_only
strategy.initiative,Initiative,Strategy,Strategic Principles,,intermediate,10,middlegame,,strategy.multi_stage_strategy|strategy.maintaining_the_initiative|piece_evaluation.initiative|evaluation.initiative,ontology_only
strategy.maintaining_the_initiative,Maintaining the Initiative,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.initiative|strategy.gaining_the_initiative,ontology_only
strategy.gaining_the_initiative,Gaining the Initiative,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.maintaining_the_initiative|strategy.losing_the_initiative,ontology_only
strategy.losing_the_initiative,Losing the Initiative,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.gaining_the_initiative|strategy.dynamic_compensation,ontology_only
strategy.dynamic_compensation,Dynamic Compensation,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.losing_the_initiative|strategy.static_advantage,ontology_only
strategy.static_advantage,Static Advantage,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.dynamic_compensation|strategy.space_advantage,ontology_only
strategy.space_advantage,Space Advantage,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.static_advantage|strategy.space_disadvantage,ontology_only
strategy.space_disadvantage,Space Disadvantage,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.space_advantage|strategy.cramped_position,ontology_only
strategy.cramped_position,Cramped Position,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.space_disadvantage|strategy.expansion,ontology_only
strategy.expansion,Expansion,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.cramped_position|strategy.restriction,ontology_only
strategy.restriction,Restriction,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.expansion|strategy.preventing_counterplay,ontology_only
strategy.preventing_counterplay,Preventing Counterplay,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.restriction|strategy.creating_counterplay,ontology_only
strategy.creating_counterplay,Creating Counterplay,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.preventing_counterplay|strategy.second_weakness,ontology_only
strategy.second_weakness,Second Weakness,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.creating_counterplay|strategy.principle_of_two_weaknesses,ontology_only
strategy.principle_of_two_weaknesses,Principle of Two Weaknesses,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.second_weakness|strategy.switching_wings,ontology_only
strategy.switching_wings,Switching Wings,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.principle_of_two_weaknesses|strategy.play_on_both_wings,ontology_only
strategy.play_on_both_wings,Play on Both Wings,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.switching_wings|strategy.creating_a_second_front,ontology_only
strategy.creating_a_second_front,Creating a Second Front,Strategy,Strategic Principles,,intermediate,7,middlegame,,strategy.play_on_both_wings|strategy.transformation_of_advantages,ontology_only
strategy.transformation_of_advantages,Transformation of Advantages,Strategy,Strategic Principles,,advanced,7,middlegame,,strategy.creating_a_second_front|strategy.strategic_imbalance|exchanges.transformation_of_advantages,ontology_only
positional.piece_domination,Piece Domination,Positional Play,Positional Techniques,,advanced,7,middlegame,,positional.dominating_a_piece|positional.weak_square,ontology_only
positional.weak_square,Weak Square,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.piece_domination|positional.weak_pawn,ontology_only
positional.weak_pawn,Weak Pawn,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.weak_square|positional.weak_colour_complex,ontology_only
positional.weak_colour_complex,Weak Colour Complex,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.weak_pawn|positional.dark_square_weakness,ontology_only
positional.dark_square_weakness,Dark-Square Weakness,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.weak_colour_complex|positional.light_square_weakness,ontology_only
positional.light_square_weakness,Light-Square Weakness,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.dark_square_weakness|positional.permanent_weakness,ontology_only
positional.permanent_weakness,Permanent Weakness,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.light_square_weakness|positional.temporary_weakness,ontology_only
positional.temporary_weakness,Temporary Weakness,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.permanent_weakness|positional.fixing_a_weakness,ontology_only
positional.fixing_a_weakness,Fixing a Weakness,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.temporary_weakness|positional.provoking_a_weakness|planning.fixing_a_weakness,ontology_only
positional.provoking_a_weakness,Provoking a Weakness,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.fixing_a_weakness|positional.exploiting_a_weakness,ontology_only
positional.exploiting_a_weakness,Exploiting a Weakness,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.provoking_a_weakness|positional.strong_square,ontology_only
positional.strong_square,Strong Square,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.exploiting_a_weakness|positional.outpost,ontology_only
positional.outpost,Outpost,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.strong_square|positional.knight_outpost,ontology_only
positional.knight_outpost,Knight Outpost,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.outpost|positional.bishop_outpost|piece_evaluation.knight_outpost|knight_endgames.knight_outpost,ontology_only
positional.bishop_outpost,Bishop Outpost,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.knight_outpost|positional.central_outpost,ontology_only
positional.central_outpost,Central Outpost,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.bishop_outpost|positional.protected_outpost,ontology_only
positional.protected_outpost,Protected Outpost,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.central_outpost|positional.blockade,ontology_only
positional.blockade,Blockade,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.protected_outpost|positional.knight_blockade|defence.blockade,ontology_only
positional.knight_blockade,Knight Blockade,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.blockade|positional.rook_blockade|knight_endgames.knight_blockade,ontology_only
positional.rook_blockade,Rook Blockade,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.knight_blockade|positional.open_file,ontology_only
positional.open_file,Open File,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.rook_blockade|positional.semi_open_file,ontology_only
positional.semi_open_file,Semi-Open File,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.open_file|positional.open_rank,ontology_only
positional.open_rank,Open Rank,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.semi_open_file|positional.open_diagonal,ontology_only
positional.open_diagonal,Open Diagonal,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.open_rank|positional.positional_sacrifice,ontology_only
positional.positional_sacrifice,Positional Sacrifice,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.open_diagonal|positional.exchange_sacrifice_for_positional_compensation,ontology_only
positional.exchange_sacrifice_for_positional_compensation,Exchange Sacrifice for Positional Compensation,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.positional_sacrifice|positional.restricting_a_bishop,ontology_only
positional.restricting_a_bishop,Restricting a Bishop,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.exchange_sacrifice_for_positional_compensation|positional.restricting_a_knight,ontology_only
positional.restricting_a_knight,Restricting a Knight,Positional Play,Positional Techniques,,intermediate,7,middlegame,,positional.restricting_a_bishop|positional.restricting_a_rook,ontology_only
